kernel,build,dtype,M,stride,align,misalign_bytes,time_s,run_id,result
saxpy,scalar,f32,512,1,aligned,0,0.000000270,0,
saxpy,scalar,f32,512,1,aligned,0,0.000000210,1,
saxpy,scalar,f32,512,1,aligned,0,0.000000190,2,
saxpy,scalar,f32,512,1,aligned,0,0.000000160,3,
saxpy,scalar,f32,512,1,aligned,0,0.000000160,4,
saxpy,scalar,f32,512,1,aligned,0,0.000000159,5,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,6,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,7,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,8,
saxpy,scalar,f32,512,1,aligned,0,0.000000170,9,
saxpy,simd,f32,512,1,aligned,0,0.000000129,0,
saxpy,simd,f32,512,1,aligned,0,0.000000070,1,
saxpy,simd,f32,512,1,aligned,0,0.000000049,2,
saxpy,simd,f32,512,1,aligned,0,0.000000040,3,
saxpy,simd,f32,512,1,aligned,0,0.000000040,4,
saxpy,simd,f32,512,1,aligned,0,0.000000040,5,
saxpy,simd,f32,512,1,aligned,0,0.000000040,6,
saxpy,simd,f32,512,1,aligned,0,0.000000040,7,
saxpy,simd,f32,512,1,aligned,0,0.000000040,8,
saxpy,simd,f32,512,1,aligned,0,0.000000030,9,
saxpy,scalar,f32,1024,1,aligned,0,0.000000400,0,
saxpy,scalar,f32,1024,1,aligned,0,0.000000350,1,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,2,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,3,
saxpy,scalar,f32,1024,1,aligned,0,0.000000301,4,
saxpy,scalar,f32,1024,1,aligned,0,0.000000301,5,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,6,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,7,
saxpy,scalar,f32,1024,1,aligned,0,0.000000301,8,
saxpy,scalar,f32,1024,1,aligned,0,0.000000300,9,
saxpy,simd,f32,1024,1,aligned,0,0.000000170,0,
saxpy,simd,f32,1024,1,aligned,0,0.000000101,1,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,2,
saxpy,simd,f32,1024,1,aligned,0,0.000000050,3,
saxpy,simd,f32,1024,1,aligned,0,0.000000061,4,
saxpy,simd,f32,1024,1,aligned,0,0.000000050,5,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,6,
saxpy,simd,f32,1024,1,aligned,0,0.000000061,7,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,8,
saxpy,simd,f32,1024,1,aligned,0,0.000000060,9,
saxpy,scalar,f32,30720,1,aligned,0,0.000008480,0,
saxpy,scalar,f32,30720,1,aligned,0,0.000008460,1,
saxpy,scalar,f32,30720,1,aligned,0,0.000008360,2,
saxpy,scalar,f32,30720,1,aligned,0,0.000008340,3,
saxpy,scalar,f32,30720,1,aligned,0,0.000008320,4,
saxpy,scalar,f32,30720,1,aligned,0,0.000008580,5,
saxpy,scalar,f32,30720,1,aligned,0,0.000008350,6,
saxpy,scalar,f32,30720,1,aligned,0,0.000008331,7,
saxpy,scalar,f32,30720,1,aligned,0,0.000008339,8,
saxpy,scalar,f32,30720,1,aligned,0,0.000008320,9,
saxpy,simd,f32,30720,1,aligned,0,0.000002160,0,
saxpy,simd,f32,30720,1,aligned,0,0.000002150,1,
saxpy,simd,f32,30720,1,aligned,0,0.000002069,2,
saxpy,simd,f32,30720,1,aligned,0,0.000002080,3,
saxpy,simd,f32,30720,1,aligned,0,0.000002110,4,
saxpy,simd,f32,30720,1,aligned,0,0.000002121,5,
saxpy,simd,f32,30720,1,aligned,0,0.000002100,6,
saxpy,simd,f32,30720,1,aligned,0,0.000002121,7,
saxpy,simd,f32,30720,1,aligned,0,0.000002090,8,
saxpy,simd,f32,30720,1,aligned,0,0.000002120,9,
saxpy,scalar,f32,65536,1,aligned,0,0.000019199,0,
saxpy,scalar,f32,65536,1,aligned,0,0.000019000,1,
saxpy,scalar,f32,65536,1,aligned,0,0.000019079,2,
saxpy,scalar,f32,65536,1,aligned,0,0.000024889,3,
saxpy,scalar,f32,65536,1,aligned,0,0.000018890,4,
saxpy,scalar,f32,65536,1,aligned,0,0.000019150,5,
saxpy,scalar,f32,65536,1,aligned,0,0.000018859,6,
saxpy,scalar,f32,65536,1,aligned,0,0.000018919,7,
saxpy,scalar,f32,65536,1,aligned,0,0.000020530,8,
saxpy,scalar,f32,65536,1,aligned,0,0.000018850,9,
saxpy,simd,f32,65536,1,aligned,0,0.000005309,0,
saxpy,simd,f32,65536,1,aligned,0,0.000005310,1,
saxpy,simd,f32,65536,1,aligned,0,0.000005170,2,
saxpy,simd,f32,65536,1,aligned,0,0.000005080,3,
saxpy,simd,f32,65536,1,aligned,0,0.000005070,4,
saxpy,simd,f32,65536,1,aligned,0,0.000005059,5,
saxpy,simd,f32,65536,1,aligned,0,0.000005080,6,
saxpy,simd,f32,65536,1,aligned,0,0.000005139,7,
saxpy,simd,f32,65536,1,aligned,0,0.000005030,8,
saxpy,simd,f32,65536,1,aligned,0,0.000005040,9,
saxpy,scalar,f32,92160,1,aligned,0,0.000026850,0,
saxpy,scalar,f32,92160,1,aligned,0,0.000026549,1,
saxpy,scalar,f32,92160,1,aligned,0,0.000026369,2,
saxpy,scalar,f32,92160,1,aligned,0,0.000026480,3,
saxpy,scalar,f32,92160,1,aligned,0,0.000026649,4,
saxpy,scalar,f32,92160,1,aligned,0,0.000026450,5,
saxpy,scalar,f32,92160,1,aligned,0,0.000026410,6,
saxpy,scalar,f32,92160,1,aligned,0,0.000026461,7,
saxpy,scalar,f32,92160,1,aligned,0,0.000026400,8,
saxpy,scalar,f32,92160,1,aligned,0,0.000026469,9,
saxpy,simd,f32,92160,1,aligned,0,0.000007490,0,
saxpy,simd,f32,92160,1,aligned,0,0.000007410,1,
saxpy,simd,f32,92160,1,aligned,0,0.000007480,2,
saxpy,simd,f32,92160,1,aligned,0,0.000007439,3,
saxpy,simd,f32,92160,1,aligned,0,0.000007320,4,
saxpy,simd,f32,92160,1,aligned,0,0.000007359,5,
saxpy,simd,f32,92160,1,aligned,0,0.000007400,6,
saxpy,simd,f32,92160,1,aligned,0,0.000007380,7,
saxpy,simd,f32,92160,1,aligned,0,0.000007330,8,
saxpy,simd,f32,92160,1,aligned,0,0.000007460,9,
saxpy,scalar,f32,1048576,1,aligned,0,0.000295476,0,
saxpy,scalar,f32,1048576,1,aligned,0,0.000295476,1,
saxpy,scalar,f32,1048576,1,aligned,0,0.000300955,2,
saxpy,scalar,f32,1048576,1,aligned,0,0.000295685,3,
saxpy,scalar,f32,1048576,1,aligned,0,0.000295055,4,
saxpy,scalar,f32,1048576,1,aligned,0,0.000300365,5,
saxpy,scalar,f32,1048576,1,aligned,0,0.000295665,6,
saxpy,scalar,f32,1048576,1,aligned,0,0.000295606,7,
saxpy,scalar,f32,1048576,1,aligned,0,0.000300486,8,
saxpy,scalar,f32,1048576,1,aligned,0,0.000295775,9,
saxpy,simd,f32,1048576,1,aligned,0,0.000085118,0,
saxpy,simd,f32,1048576,1,aligned,0,0.000087629,1,
saxpy,simd,f32,1048576,1,aligned,0,0.000100019,2,
saxpy,simd,f32,1048576,1,aligned,0,0.000090409,3,
saxpy,simd,f32,1048576,1,aligned,0,0.000093549,4,
saxpy,simd,f32,1048576,1,aligned,0,0.000084989,5,
saxpy,simd,f32,1048576,1,aligned,0,0.000092398,6,
saxpy,simd,f32,1048576,1,aligned,0,0.000085038,7,
saxpy,simd,f32,1048576,1,aligned,0,0.000097668,8,
saxpy,simd,f32,1048576,1,aligned,0,0.000086288,9,
saxpy,scalar,f32,2097152,1,aligned,0,0.000596360,0,
saxpy,scalar,f32,2097152,1,aligned,0,0.000602501,1,
saxpy,scalar,f32,2097152,1,aligned,0,0.000603930,2,
saxpy,scalar,f32,2097152,1,aligned,0,0.000600040,3,
saxpy,scalar,f32,2097152,1,aligned,0,0.000613720,4,
saxpy,scalar,f32,2097152,1,aligned,0,0.000601141,5,
saxpy,scalar,f32,2097152,1,aligned,0,0.000609742,6,
saxpy,scalar,f32,2097152,1,aligned,0,0.000607951,7,
saxpy,scalar,f32,2097152,1,aligned,0,0.000602891,8,
saxpy,scalar,f32,2097152,1,aligned,0,0.000612731,9,
saxpy,simd,f32,2097152,1,aligned,0,0.000260917,0,
saxpy,simd,f32,2097152,1,aligned,0,0.000233316,1,
saxpy,simd,f32,2097152,1,aligned,0,0.000257825,2,
saxpy,simd,f32,2097152,1,aligned,0,0.000269466,3,
saxpy,simd,f32,2097152,1,aligned,0,0.000285155,4,
saxpy,simd,f32,2097152,1,aligned,0,0.000292485,5,
saxpy,simd,f32,2097152,1,aligned,0,0.000271656,6,
saxpy,simd,f32,2097152,1,aligned,0,0.000273257,7,
saxpy,simd,f32,2097152,1,aligned,0,0.000281164,8,
saxpy,simd,f32,2097152,1,aligned,0,0.000290985,9,
saxpy,scalar,f32,5242880,1,aligned,0,0.001541995,0,
saxpy,scalar,f32,5242880,1,aligned,0,0.001539626,1,
saxpy,scalar,f32,5242880,1,aligned,0,0.001544036,2,
saxpy,scalar,f32,5242880,1,aligned,0,0.001534826,3,
saxpy,scalar,f32,5242880,1,aligned,0,0.001535286,4,
saxpy,scalar,f32,5242880,1,aligned,0,0.001536186,5,
saxpy,scalar,f32,5242880,1,aligned,0,0.001537096,6,
saxpy,scalar,f32,5242880,1,aligned,0,0.001540036,7,
saxpy,scalar,f32,5242880,1,aligned,0,0.001534816,8,
saxpy,scalar,f32,5242880,1,aligned,0,0.001545765,9,
saxpy,simd,f32,5242880,1,aligned,0,0.000819257,0,
saxpy,simd,f32,5242880,1,aligned,0,0.000800998,1,
saxpy,simd,f32,5242880,1,aligned,0,0.000795337,2,
saxpy,simd,f32,5242880,1,aligned,0,0.000794508,3,
saxpy,simd,f32,5242880,1,aligned,0,0.000787318,4,
saxpy,simd,f32,5242880,1,aligned,0,0.000792367,5,
saxpy,simd,f32,5242880,1,aligned,0,0.000784088,6,
saxpy,simd,f32,5242880,1,aligned,0,0.000784387,7,
saxpy,simd,f32,5242880,1,aligned,0,0.000776178,8,
saxpy,simd,f32,5242880,1,aligned,0,0.000757019,9,
saxpy,scalar,f64,512,1,aligned,0,0.000000429,0,
saxpy,scalar,f64,512,1,aligned,0,0.000000220,1,
saxpy,scalar,f64,512,1,aligned,0,0.000000160,2,
saxpy,scalar,f64,512,1,aligned,0,0.000000160,3,
saxpy,scalar,f64,512,1,aligned,0,0.000000160,4,
saxpy,scalar,f64,512,1,aligned,0,0.000000150,5,
saxpy,scalar,f64,512,1,aligned,0,0.000000159,6,
saxpy,scalar,f64,512,1,aligned,0,0.000000160,7,
saxpy,scalar,f64,512,1,aligned,0,0.000000150,8,
saxpy,scalar,f64,512,1,aligned,0,0.000000150,9,
saxpy,simd,f64,512,1,aligned,0,0.000000320,0,
saxpy,simd,f64,512,1,aligned,0,0.000000120,1,
saxpy,simd,f64,512,1,aligned,0,0.000000120,2,
saxpy,simd,f64,512,1,aligned,0,0.000000080,3,
saxpy,simd,f64,512,1,aligned,0,0.000000090,4,
saxpy,simd,f64,512,1,aligned,0,0.000000080,5,
saxpy,simd,f64,512,1,aligned,0,0.000000080,6,
saxpy,simd,f64,512,1,aligned,0,0.000000080,7,
saxpy,simd,f64,512,1,aligned,0,0.000000080,8,
saxpy,simd,f64,512,1,aligned,0,0.000000079,9,
saxpy,scalar,f64,819,1,aligned,0,0.000000720,0,
saxpy,scalar,f64,819,1,aligned,0,0.000000310,1,
saxpy,scalar,f64,819,1,aligned,0,0.000000240,2,
saxpy,scalar,f64,819,1,aligned,0,0.000000240,3,
saxpy,scalar,f64,819,1,aligned,0,0.000000240,4,
saxpy,scalar,f64,819,1,aligned,0,0.000000239,5,
saxpy,scalar,f64,819,1,aligned,0,0.000000239,6,
saxpy,scalar,f64,819,1,aligned,0,0.000000239,7,
saxpy,scalar,f64,819,1,aligned,0,0.000000240,8,
saxpy,scalar,f64,819,1,aligned,0,0.000000240,9,
saxpy,simd,f64,819,1,aligned,0,0.000000450,0,
saxpy,simd,f64,819,1,aligned,0,0.000000150,1,
saxpy,simd,f64,819,1,aligned,0,0.000000130,2,
saxpy,simd,f64,819,1,aligned,0,0.000000120,3,
saxpy,simd,f64,819,1,aligned,0,0.000000120,4,
saxpy,simd,f64,819,1,aligned,0,0.000000119,5,
saxpy,simd,f64,819,1,aligned,0,0.000000120,6,
saxpy,simd,f64,819,1,aligned,0,0.000000120,7,
saxpy,simd,f64,819,1,aligned,0,0.000000120,8,
saxpy,simd,f64,819,1,aligned,0,0.000000120,9,
saxpy,scalar,f64,5120,1,aligned,0,0.000001529,0,
saxpy,scalar,f64,5120,1,aligned,0,0.000001450,1,
saxpy,scalar,f64,5120,1,aligned,0,0.000001420,2,
saxpy,scalar,f64,5120,1,aligned,0,0.000001729,3,
saxpy,scalar,f64,5120,1,aligned,0,0.000001410,4,
saxpy,scalar,f64,5120,1,aligned,0,0.000001400,5,
saxpy,scalar,f64,5120,1,aligned,0,0.000001400,6,
saxpy,scalar,f64,5120,1,aligned,0,0.000001400,7,
saxpy,scalar,f64,5120,1,aligned,0,0.000001410,8,
saxpy,scalar,f64,5120,1,aligned,0,0.000001400,9,
saxpy,simd,f64,5120,1,aligned,0,0.000000810,0,
saxpy,simd,f64,5120,1,aligned,0,0.000000709,1,
saxpy,simd,f64,5120,1,aligned,0,0.000000750,2,
saxpy,simd,f64,5120,1,aligned,0,0.000000690,3,
saxpy,simd,f64,5120,1,aligned,0,0.000000680,4,
saxpy,simd,f64,5120,1,aligned,0,0.000000690,5,
saxpy,simd,f64,5120,1,aligned,0,0.000000699,6,
saxpy,simd,f64,5120,1,aligned,0,0.000000681,7,
saxpy,simd,f64,5120,1,aligned,0,0.000000690,8,
saxpy,simd,f64,5120,1,aligned,0,0.000000690,9,
saxpy,scalar,f64,20480,1,aligned,0,0.000006510,0,
saxpy,scalar,f64,20480,1,aligned,0,0.000006360,1,
saxpy,scalar,f64,20480,1,aligned,0,0.000006310,2,
saxpy,scalar,f64,20480,1,aligned,0,0.000006310,3,
saxpy,scalar,f64,20480,1,aligned,0,0.000006290,4,
saxpy,scalar,f64,20480,1,aligned,0,0.000006290,5,
saxpy,scalar,f64,20480,1,aligned,0,0.000006309,6,
saxpy,scalar,f64,20480,1,aligned,0,0.000006500,7,
saxpy,scalar,f64,20480,1,aligned,0,0.000006300,8,
saxpy,scalar,f64,20480,1,aligned,0,0.000006280,9,
saxpy,simd,f64,20480,1,aligned,0,0.000002970,0,
saxpy,simd,f64,20480,1,aligned,0,0.000002980,1,
saxpy,simd,f64,20480,1,aligned,0,0.000002940,2,
saxpy,simd,f64,20480,1,aligned,0,0.000002890,3,
saxpy,simd,f64,20480,1,aligned,0,0.000002869,4,
saxpy,simd,f64,20480,1,aligned,0,0.000002870,5,
saxpy,simd,f64,20480,1,aligned,0,0.000002881,6,
saxpy,simd,f64,20480,1,aligned,0,0.000002850,7,
saxpy,simd,f64,20480,1,aligned,0,0.000002870,8,
saxpy,simd,f64,20480,1,aligned,0,0.000007940,9,
saxpy,scalar,f64,51200,1,aligned,0,0.000016349,0,
saxpy,scalar,f64,51200,1,aligned,0,0.000015871,1,
saxpy,scalar,f64,51200,1,aligned,0,0.000016140,2,
saxpy,scalar,f64,51200,1,aligned,0,0.000015780,3,
saxpy,scalar,f64,51200,1,aligned,0,0.000015829,4,
saxpy,scalar,f64,51200,1,aligned,0,0.000015730,5,
saxpy,scalar,f64,51200,1,aligned,0,0.000015759,6,
saxpy,scalar,f64,51200,1,aligned,0,0.000015700,7,
saxpy,scalar,f64,51200,1,aligned,0,0.000015761,8,
saxpy,scalar,f64,51200,1,aligned,0,0.000015970,9,
saxpy,simd,f64,51200,1,aligned,0,0.000008459,0,
saxpy,simd,f64,51200,1,aligned,0,0.000008180,1,
saxpy,simd,f64,51200,1,aligned,0,0.000008270,2,
saxpy,simd,f64,51200,1,aligned,0,0.000008170,3,
saxpy,simd,f64,51200,1,aligned,0,0.000008469,4,
saxpy,simd,f64,51200,1,aligned,0,0.000008099,5,
saxpy,simd,f64,51200,1,aligned,0,0.000008260,6,
saxpy,simd,f64,51200,1,aligned,0,0.000008070,7,
saxpy,simd,f64,51200,1,aligned,0,0.000008049,8,
saxpy,simd,f64,51200,1,aligned,0,0.000008100,9,
saxpy,scalar,f64,81920,1,aligned,0,0.000025000,0,
saxpy,scalar,f64,81920,1,aligned,0,0.000024979,1,
saxpy,scalar,f64,81920,1,aligned,0,0.000024790,2,
saxpy,scalar,f64,81920,1,aligned,0,0.000024869,3,
saxpy,scalar,f64,81920,1,aligned,0,0.000024849,4,
saxpy,scalar,f64,81920,1,aligned,0,0.000024910,5,
saxpy,scalar,f64,81920,1,aligned,0,0.000025030,6,
saxpy,scalar,f64,81920,1,aligned,0,0.000024790,7,
saxpy,scalar,f64,81920,1,aligned,0,0.000024820,8,
saxpy,scalar,f64,81920,1,aligned,0,0.000024810,9,
saxpy,simd,f64,81920,1,aligned,0,0.000012970,0,
saxpy,simd,f64,81920,1,aligned,0,0.000012849,1,
saxpy,simd,f64,81920,1,aligned,0,0.000012729,2,
saxpy,simd,f64,81920,1,aligned,0,0.000012751,3,
saxpy,simd,f64,81920,1,aligned,0,0.000012660,4,
saxpy,simd,f64,81920,1,aligned,0,0.000012699,5,
saxpy,simd,f64,81920,1,aligned,0,0.000012669,6,
saxpy,simd,f64,81920,1,aligned,0,0.000012719,7,
saxpy,simd,f64,81920,1,aligned,0,0.000012629,8,
saxpy,simd,f64,81920,1,aligned,0,0.000012730,9,
saxpy,scalar,f64,2097152,1,aligned,0,0.000894336,0,
saxpy,scalar,f64,2097152,1,aligned,0,0.000781508,1,
saxpy,scalar,f64,2097152,1,aligned,0,0.000801188,2,
saxpy,scalar,f64,2097152,1,aligned,0,0.000809777,3,
saxpy,scalar,f64,2097152,1,aligned,0,0.000820898,4,
saxpy,scalar,f64,2097152,1,aligned,0,0.000826636,5,
saxpy,scalar,f64,2097152,1,aligned,0,0.000822247,6,
saxpy,scalar,f64,2097152,1,aligned,0,0.000820168,7,
saxpy,scalar,f64,2097152,1,aligned,0,0.000822167,8,
saxpy,scalar,f64,2097152,1,aligned,0,0.000824877,9,
saxpy,simd,f64,2097152,1,aligned,0,0.000751268,0,
saxpy,simd,f64,2097152,1,aligned,0,0.000616350,1,
saxpy,simd,f64,2097152,1,aligned,0,0.000621930,2,
saxpy,simd,f64,2097152,1,aligned,0,0.000633171,3,
saxpy,simd,f64,2097152,1,aligned,0,0.000630670,4,
saxpy,simd,f64,2097152,1,aligned,0,0.000634960,5,
saxpy,simd,f64,2097152,1,aligned,0,0.000643310,6,
saxpy,simd,f64,2097152,1,aligned,0,0.000647269,7,
saxpy,simd,f64,2097152,1,aligned,0,0.000662060,8,
saxpy,simd,f64,2097152,1,aligned,0,0.000635380,9,
saxpy,scalar,f64,5242880,1,aligned,0,0.002258995,0,
saxpy,scalar,f64,5242880,1,aligned,0,0.002192684,1,
saxpy,scalar,f64,5242880,1,aligned,0,0.002194585,2,
saxpy,scalar,f64,5242880,1,aligned,0,0.002214395,3,
saxpy,scalar,f64,5242880,1,aligned,0,0.002231006,4,
saxpy,scalar,f64,5242880,1,aligned,0,0.002215195,5,
saxpy,scalar,f64,5242880,1,aligned,0,0.002226105,6,
saxpy,scalar,f64,5242880,1,aligned,0,0.002214455,7,
saxpy,scalar,f64,5242880,1,aligned,0,0.002225375,8,
saxpy,scalar,f64,5242880,1,aligned,0,0.002228325,9,
saxpy,simd,f64,5242880,1,aligned,0,0.001998078,0,
saxpy,simd,f64,5242880,1,aligned,0,0.002000858,1,
saxpy,simd,f64,5242880,1,aligned,0,0.001986778,2,
saxpy,simd,f64,5242880,1,aligned,0,0.001967359,3,
saxpy,simd,f64,5242880,1,aligned,0,0.001970719,4,
saxpy,simd,f64,5242880,1,aligned,0,0.002000298,5,
saxpy,simd,f64,5242880,1,aligned,0,0.001992459,6,
saxpy,simd,f64,5242880,1,aligned,0,0.001988838,7,
saxpy,simd,f64,5242880,1,aligned,0,0.002008549,8,
saxpy,simd,f64,5242880,1,aligned,0,0.002019648,9,
dot,scalar,f32,512,1,aligned,0,0.000000500,0,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000440,1,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,2,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,3,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,4,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000411,5,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000411,6,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000420,7,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,8,-15.139647836348793
dot,scalar,f32,512,1,aligned,0,0.000000410,9,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000490,0,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000450,1,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000420,2,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,3,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,4,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000411,5,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,6,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,7,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000410,8,-15.139647836348793
dot,simd,f32,512,1,aligned,0,0.000000420,9,-15.139647836348793
dot,scalar,f32,1024,1,aligned,0,0.000000890,0,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000849,1,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000810,2,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000810,3,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,4,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,5,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,6,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000800,7,-19.998422534070617
dot,scalar,f32,1024,1,aligned,0,0.000000809,8,-19.998422534070617
